x	y	new_x	new_y	pixel_x	pixel_yselected
9	5	8.90049715909091	4.886614412874789	10224	4620	0
10	5	9.870563576438212	4.873332393062007	10928	4612	0
11	5	10.808841774680399	4.875815039282447	11600	4612	0
12	5	12.063631647283382	4.938143068605715	12509	4653	0
13	5	12.989382379705257	4.931919957066442	13173	4653	0
14	5	13.883615389737217	4.922911772856842	13820	4645	1
15	5	14.997713678533382	4.90545283137141	14623	4637	1
16	5	15.988892711292614	4.928353386956292	15335	4653	1
17	5	17.00287114923651	4.880338376706785	16065	4612	1
18	5	18.036244895241477	4.879955532314542	16810	4612	0
19	5	18.9454384543679	4.884278168549409	17465	4620	0
20	5	20.014960271661934	4.81925648182362	18235	4571	0
21	5	20.988046542080966	4.857351904516822	18940	4596	1
22	5	21.867319003018466	4.87988061303491	19571	4612	0
23	5	23.20590320933949	4.910761790232615	20537	4637	0
24	5	24.08879061612216	4.923847920185811	21176	4645	0
25	5	24.97904385653409	4.907287322723114	21815	4637	0
26	5	26.11231689453125	4.866907893000422	22634	4604	0
27	5	27.146194180575286	4.870305379231771	23380	4604	0
28	5	28.147914262251422	4.891637441274282	24101	4620	0
29	5	29.154542125355114	4.8789520263671875	24830	4612	0
30	5	30.133906693892047	4.838914888399142	25534	4588	0
31	5	31.088285688920454	4.830910897469735	26223	4579	0
32	5	32.10429632013494	4.827814463022593	26952	4579	0
2	6	1.8367473255504259	5.973144668716568	5136	5407	0
3	6	2.890877879749645	5.9862857852970155	5890	5415	0
4	6	3.8688580599698152	5.982503392674901	6603	5415	0
5	6	4.876935508034446	5.957788965723536	7324	5399	0
6	6	5.951928294788707	5.953491073470931	8102	5399	0
7	6	6.895538052645597	5.9309348716392165	8782	5382	0
8	6	7.912035577947444	5.920002155475788	9511	5374	0
9	6	8.867013827237217	5.910987785270621	10199	5366	0
10	6	9.90098544034091	5.8997842599679755	10945	5358	0
11	6	10.808098255504262	5.882365871120143	11600	5341	0
12	6	12.070779696377842	5.938948485228392	12509	5382	1
